mark,publication_date,file_text,author,title,год попадания,автор/авторы,книга,цикл,аннотация,оценка *,оценка цифрой,этап,№ обзора,Ссылка на выпуск обзора,Ссылка на роман,HC,Перенесено в этот файл из других источников,Комментарии переносов,Редакция строки,автор2,автор3,линк,номер,время,Ссылка на выпуск обзора.1,"год попадания, из исходной редакции, без ""округления""",Unnamed: 22,Unnamed: 23,Unnamed: 24,Служебные отметки,LC,link_domain,num_pers
3.2*51,-,Санфиров_Александр_Вторая_жизнь.txt,Санфиров Александр,Вторая жизнь,1968,Санфиров Александр,Вторая жизнь,,"На восьмом десятке жизни, умерев на зимней рыбалке, герой обнаруживает себя в теле десятиклассника. И вроде бы перед ним сейчас открыты все пути и дороги, о которых мечталось вечерами в старости перед тлеющими в камине углями. Но жизнь есть жизнь, и в ней не всегда получается так, как хотелось, даже если ты знаешь свое будущее и будущее своей страны.",***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/528057,,,#Н/Д,1968.0,,,,+++++,,flibusta.is,431
1.3*3,-,"Полищук_Виталий_2._Незримое,_или_Война_в_иномирье.txt",Полищук Виталий,"2. Незримое, или Война в иномирье",1966,Полищук Виталий,"2. Незримое, или Война в иномирье",Из хроник жизни – невероятной и многообразной,"А. Монасюк, недовольный к 58-летнему возрасту своей жизнью, переселяется в себя самого в возрасте 17 лет. Он пытается обмануть судьбу, для этого - переделать, прожить по-иному свою жизнь. Сначала ему это удается, но... К 58-летнему возрасту выясняется, что удается далеко не все. И он вновь пытается хоть что-то изменить в собственной судьбе.",***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/466825,,,#Н/Д,1966.0,,,,+++++,,flibusta.is,468
3.4*202,-,Санфиров_Александр_1._ч.I.txt,Санфиров Александр,1. ч.I,1964,Санфиров Александр,1. ч.I,Назад в юность,"Военврач-пенсионер переносится сам в себя на пятьдесят лет назад. Делает карьеру. Становится врачом в 'кремлевке'. Гипнотизирует 'кремлевских старцев', предотвращает Афган.",***,3,закончено,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/355564,,,#Н/Д,1964.0,,,,+++++,,flibusta.is,375
3.3*58,-,Санфиров_Александр_2._ч.II.txt,Санфиров Александр,2. ч.II,1964,Санфиров Александр,2. ч.II,Назад в юность,"Военврач-пенсионер переносится сам в себя на пятьдесят лет назад. Делает карьеру. Становится врачом в 'кремлевке'. Гипнотизирует 'кремлевских старцев', предотвращает Афган.",***,3,застой,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/490281,,,#Н/Д,1964.0,,,,+++++,,flibusta.is,147
1.6*30,-,Ларин_Гарри_Назад_в_СССР_с_кучей_баксов.txt,Ларин Гарри,Назад в СССР с кучей баксов,1963,Ларин Гарри,Назад в СССР с кучей баксов,,"Сюжет: герой в странном офисе брокерской конторы в 2017 году встречается с нечистой силой в женском обличье и получает странным образом огромную сумму денег, но выйдя из офиса, попадает в другое время - в СССР. У него только доллары, но при Хрущеве за валютные операции расстреливают...",***,3,закончено,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/506433,,,#Н/Д,1963.0,,,,+++++,,flibusta.is,206
3.1*138,-,Величко_Андрей_Феликсович_1._Фагоцит._За_себя_и_за_того_парня.txt,Величко Андрей Феликсович,1. Фагоцит. За себя и за того парня,1962,Величко Андрей Феликсович,1. Фагоцит. За себя и за того парня,Эмиссары,"Шестидесятые годы двадцатого века, Советский Союз. Лучшие годы страны. Время, когда люди поверили в светлое будущее, когда жизнь с каждым годом становилась лучше... или время, когда окончательно сформировались основные факторы будущего развала СССР - полнейшая деградация партии, криминализация торговли, неповоротливость планового хозяйства, разочарование народа в коммунистических лозунгах и многое другое? Вопрос непростой, но нашему современнику придется в нем разобраться - ведь ему же теперь там жить.",***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/528002,,,#Н/Д,1962.0,,,,+++++,,flibusta.is,331
3.1*94,-,Величко_Андрей_Феликсович_2._Фагоцит._Покой_нам_только_снится.txt,Величко Андрей Феликсович,2. Фагоцит. Покой нам только снится,1962,Величко Андрей Феликсович,2. Фагоцит. Покой нам только снится,Эмиссары,"Шестидесятые годы двадцатого века, Советский Союз. Лучшие годы страны. Время, когда люди поверили в светлое будущее, когда жизнь с каждым годом становилась лучше... или время, когда окончательно сформировались основные факторы будущего развала СССР - полнейшая деградация партии, криминализация торговли, неповоротливость планового хозяйства, разочарование народа в коммунистических лозунгах и многое другое? Вопрос непростой, но нашему современнику придется в нем разобраться - ведь ему же теперь там жить.",***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/543483,,,#Н/Д,1962.0,,,,+++++,,flibusta.is,389
3.9*810,-,"Арсеньев_Сергей_Студентка,_комсомолка,_спортсменка.txt",Арсеньев Сергей,"Студентка, комсомолка, спортсменка",1961,Арсеньев Сергей,"Студентка, комсомолка, спортсменка",,"Попаданец из пожилого мужика в девочку-грудничка. ""Спасает"" СССР путем ликвидации Горбачева, Ельцина и Черненко. Ностальгия с розовым уклоном.",***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/284407,,,#Н/Д,1961.0,,,,+++++,,flibusta.is,275
2.7*101,-,Марченко_Геннадий_1._Мне_снова_15.txt,Марченко Геннадий,1. Мне снова 15,1961,Марченко Геннадий,1. Мне снова 15,Музыкант,"Сознание пожилого музыканта в результате удара током переселяется в ""трудного подростка"" Егора Мальцева.",***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/504123,,,#Н/Д,1961.0,,,,+++++,,flibusta.is,744
3.3*70,-,Марченко_Геннадий_2._На_туманном_Альбионе.txt,Марченко Геннадий,2. На туманном Альбионе,1961,Марченко Геннадий,2. На туманном Альбионе,Музыкант,"Сознание пожилого музыканта в результате удара током переселяется в ""трудного подростка"" Егора Мальцева.",***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/504122,,,#Н/Д,1961.0,,,,+++++,,flibusta.is,716
3*53,-,Марченко_Геннадий_3._Вращая_колесо_Сансары.txt,Марченко Геннадий,3. Вращая колесо Сансары,1961,Марченко Геннадий,3. Вращая колесо Сансары,Музыкант,"Сознание пожилого музыканта в результате удара током переселяется в ""трудного подростка"" Егора Мальцева.",***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/515826,,,#Н/Д,1961.0,,,,+++++,,flibusta.is,763
2.5*31,-,Колесов_Дмитрий_1._Часть_1..txt,Колесов Дмитрий,1. Часть 1.,1960,Колесов Дмитрий,1. Часть 1.,"""Рожденный в CССР""","Бывший офицер спецназа со сложной биографией, 52 лет, убит своим охранником в 2000г. и его сознание переносится в тело молодого сироты бродяги - немого от рождения. Оба из ""приютских"".",***,3,закончено,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/382681,,,#Н/Д,1960.0,,,,+++++,,flibusta.is,204
3*17,-,Колесов_Дмитрий_2._Часть_2..txt,Колесов Дмитрий,2. Часть 2.,1960,Колесов Дмитрий,2. Часть 2.,"""Рожденный в CССР""","Бывший офицер спецназа со сложной биографией, 52 лет, убит своим охранником в 2000г. и его сознание переносится в тело молодого сироты бродяги - немого от рождения. Оба из ""приютских"".",***,3,закончено,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/395808,,,#Н/Д,1960.0,,,,+++++,,flibusta.is,288
2.3*30,-,Грубов_Николай_1._Первый_шаг.txt,Грубов Николай,1. Первый шаг,1958,Грубов Николай,1. Первый шаг,Невезучий везунчик,"Если тебе вдруг выпадет ""счастье"" переделать свою судьбу, судьбу своих родственников, друзей. Если тебе эту возможность предоставили, причем, даже не спрашивая твоего желания, просто впихнули тебя, прожившего жизнь, в твое же тело, но в подростковое. Что тогда? Ты будешь что-то менять или нет? Ведь в твоей памяти много такого чего еще никто не знает, и ты точно знаешь, кого и что ожидает, какие передряги, и события всех ждут. Захочешь ли ты остаться непричастным и все оставить, как было в той, уже прожитой тобой жизни?",***,3,закончено,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/400783,,,#Н/Д,1958.0,,,,+++++,,flibusta.is,255
2.8*12,-,Курков_Андрей_Садовник_из_Очакова.txt,Курков Андрей,Садовник из Очакова,1957,Курков Андрей,Садовник из Очакова,,"Неприметная, на первый взгляд, татуировка на плече одного из героев приводит к разгадке тайны, которую более полувека хранил дом в Очакове. Стоит 30-летнему Игорю надеть обнаруженную там старую милицейскую форму, как эта форма перестает быть старой и он оказывается в 1957 году в Очакове, где его ждут сюрпризы из прошлого...",***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/308311,,,#Н/Д,1957.0,,,,+++++,,flibusta.is,184
3.8*18,-,Мартенс_Мария_В_прошедшем_времени.txt,Мартенс Мария,В прошедшем времени,1952,Мартенс Мария,В прошедшем времени,,"Молодой доктор, только что окончивший медицинский вуз, получает заманчивое предложение: поехать на один месяц врачом общей практики в сельскую больницу. В ходе собеседования выясняется, что придется отправиться в прошлое, в 1952 год. Герой соглашается, понимая, что приобретет бесценный опыт. Однако он еще не знает, что решать придется не только медицинские, но и этические и нравственные задачи.",***,3,закончено,87,ссылка на обзор,ссылка,OK,,,убрал дубль Ivlaoox 17/02/23,,,http://flibusta.is/b/597740,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-87-5f7462bd28bb441afd3cb7aa,1952.0,,,,+++++,,flibusta.is,97
2.7*35,-,Марченко_Ростислав_Перевал.txt,Марченко Ростислав,Перевал,1950,Марченко Ростислав,Перевал,,"Стрелковый взвод второго лейтенанта КМП США Джорджа Армстронга Крастера, перебрасываемый вертолетом в ходе рядовых проходящих в Южной Корее учений, совершенно не ожидал провала в прошлое - в август 1950 года, на знаменитый Пусанский периметр.",***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/526350,,,#Н/Д,1950.0,,,,+++++,,flibusta.is,171
2.4*59,-,Поселягин_Владимир_1._Корейский_вариант.txt,Поселягин Владимир,1. Корейский вариант,1949,Поселягин Владимир,1. Корейский вариант,Вечный,"Если в основе твоей жизни стоит ненависть, если после чудовищных пыток и издевательств ты получил шанс на новую жизнь, то объектам претензий можно только посочувствовать. Именно таким человеком и был ветеран Великой Отечественной войны Фёдор Палкин, и счетов к одной звёздно-полосатой нации у него было преизрядно.",*,1,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/537983,,,#Н/Д,1949.0,,,,+++++,,flibusta.is,129
1.6*16,-,Крейс_Эдгар_Спасти_Сталина.txt,Крейс Эдгар,Спасти Сталина,1946,Крейс Эдгар,Спасти Сталина,,"Единственный вернувшийся живым руководитель группы специальных операций ФСБ России Пётр Афанасьев попадает под жизненный молох. Его группу взорвали по наводке предателя, самого по оговору увольняют со службы, а семья погибает при пожаре, организованном ""королём мусора"" из-за новой свалки. Но судьба бросает Петра на новые испытания - в послевоенный Ленинград: на борьбу с бандитизмом и вражеской агентурой.",***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/511137,,,#Н/Д,1946.0,,,,+++++,,flibusta.is,189
2.8*61,-,Алексеев_Михаил_1._Воскресное_утро.txt,Алексеев Михаил,1. Воскресное утро,1941,Алексеев Михаил,1. Воскресное утро,Воскресное утро,Попадание части Вяземской области из 1979 года в 16 июня 1941 г.,***,3,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/511013,,,#Н/Д,1941.0,,,,+++++,,flibusta.is,388
2.5*54,-,Берг_Александр_1._Боевое_крещение.txt,Берг Александр,1. Боевое крещение,1941,Берг Александр,1. Боевое крещение,Ис-3,"Как группа ""воентуристов"" может повлиять на ход компании 1941 года, нечаянно попав под город Борисов, в место где в РИ встретились танковые группы Гота и Гудериана? ИС-3, танк спроектированный и построенный во время Великой Отечественной Войны но так и не успевший принять в ней участие, хотя на параде победы он уже был, произведя огромное впечатление на союзников. Смогли бы наши предки повторить его в массовой серии? Что произошло, если бы он поступил в войска не в середине 1945 года, как в реальной истории, а в начале 1942-го? Если да, то как советский ИС-3 мог изменить ход Курской битвы, выйдя против немецкого зверинца из Тигров и Пантер, кто наводил бы ужас на противника на поле боя и за кем оно осталось бы?",**,2,закончено,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/534314,,,#Н/Д,1941.0,,,,+++++,,flibusta.is,279
2*27,-,Берг_Александр_2._Сталинские_Зверобои.txt,Берг Александр,2. Сталинские Зверобои,1941,Берг Александр,2. Сталинские Зверобои,Ис-3,"Как группа ""воентуристов"" может повлиять на ход компании 1941 года, нечаянно попав под город Борисов, в место где в РИ встретились танковые группы Гота и Гудериана? ИС-3, танк спроектированный и построенный во время Великой Отечественной Войны но так и не успевший принять в ней участие, хотя на параде победы он уже был, произведя огромное впечатление на союзников. Смогли бы наши предки повторить его в массовой серии? Что произошло, если бы он поступил в войска не в середине 1945 года, как в реальной истории, а в начале 1942-го? Если да, то как советский ИС-3 мог изменить ход Курской битвы, выйдя против немецкого зверинца из Тигров и Пантер, кто наводил бы ужас на противника на поле боя и за кем оно осталось бы?",**,2,закончено,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/534313,,,#Н/Д,1941.0,,,,+++++,,flibusta.is,336
1.7*41,-,Заспа_Петр_1._Торпедой_-_пли!.txt,Заспа Петр,1. Торпедой - пли!,1941,Заспа Петр,1. Торпедой - пли!,Торпедой - пли!,"Гордость Северного флота, российская атомная подводная лодка ""Дмитрий Новгородский"" проваливается в 1942.",**,2,издано,#Н/Д,#Н/Д,ссылка,OK,,,цикл  IMRYK 12/02,,,http://flibusta.is/b/236392,,,#Н/Д,1942.0,,,,+++++,,flibusta.is,277
2.1*14,-,Заспа_Петр_2._Wunderland_обетованная.txt,Заспа Петр,2. Wunderland обетованная,1941,Заспа Петр,2. Wunderland обетованная,Торпедой - пли!,"Она исчезла с радаров в 2011 году.
И — появилась в 1942-м.
Российская атомная подводная лодка «Дмитрий Новгородский» продолжает боевой поход — уже в другом времени. Подводный крейсер становится грозным оружием в борьбе против флота Третьего Рейха.
Операцию «Wunderland» проводит профессор Эрнст Шеффер. «Wunderland» — одна из главных надежд Третьего Рейха на победу в войне. Гитлер без колебаний выделил для операции тяжёлый крейсер «Адмирал Шеер». Секретная немецкая база «Wunderland» находится на северной оконечности Новой Земли. Просто так базу не обнаружить. Но волею случая старпом российского атомохода Долгов оказался на берегу, в Мурманске. И там судьба столкнула его с профессором Шеффером, оберштурмфюрером СС, любимцем Гиммлера, авантюристом и шпионом…
А ситуация вокруг подлодки накаляется. За ней охотятся все. И советские корабли в том числе. Сам Берия прибывает в Мурманск, чтобы лично возглавить охоту на субмарину-призрак…",**,2,издано,#Н/Д,#Н/Д,ссылка,OK,,,цикл  IMRYK 12/02,,,http://flibusta.is/b/296323,,,#Н/Д,1942.0,,,,+++++,,flibusta.is,261
1.8*17,-,Заспа_Петр_Антипиранья.txt,Заспа Петр,Антипиранья,1941,Заспа Петр,Антипиранья,,"Отряд подводных пловцов, в котором служил капитан-лейтенант Денис Заремба, неожиданно расформировали. Денис ищет, где бы заработать, подписывает договор и оказывается в научном центре в роли подопытного животного. Он убегает оттуда и вдруг - перемещается под Кенигсберг. Весна сорок пятого, город окружен советскими войсками, вот-вот начнется штурм...",**,2,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/338676,,,#Н/Д,1945.0,,,,+++++,,flibusta.is,287
1.9*18,-,Константинов_Сергей_По_полю_танки_грохотали....txt,Константинов Сергей,По полю танки грохотали...,1941,Константинов Сергей,По полю танки грохотали...,,"Из компьютерной игры - на Великую Отечественную! От экрана ноутбука - за башенный прицел, в перекрестие которого уже вползает бронированная туша 'Тигра'.",**,2,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/316591,,,#Н/Д,1941.0,,,,+++++,,flibusta.is,308
3.4*54,-,Конторович_Александр_1._Пока_светит_солнце.txt,Конторович Александр,1. Пока светит солнце,1941,Конторович Александр,1. Пока светит солнце,Пограничник,"Наш человек в 1941 году. Капитан Погранвойск НКВД становится сотрудником секретного Управления 'В', предназначенного для корректировки истории, и принимает бой против гитлеровцев и бандеровцев. Сможет ли он выполнить особое задание командования - или его отправили на верную смерть? Как ему вырваться живым из Киевского 'котла', где погиб целый фронт? Удастся ли пограничнику заманить в засаду немецкую ягдкоманду? И на что способен в умелых руках один-единственный броневагон от бронепоезда против целого полка?",****,4,закончено,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/340700,,,#Н/Д,1941.0,,,,+++++,,flibusta.is,331
2.6*27,-,Конторович_Александр_2._В_связи_с_особыми_обстоятельствами.txt,Конторович Александр,2. В связи с особыми обстоятельствами,1941,Конторович Александр,2. В связи с особыми обстоятельствами,Пограничник,"Наш человек в 1941 году. Капитан Погранвойск НКВД становится сотрудником секретного Управления 'В', предназначенного для корректировки истории, и принимает бой против гитлеровцев и бандеровцев. Сможет ли он выполнить особое задание командования - или его отправили на верную смерть? Как ему вырваться живым из Киевского 'котла', где погиб целый фронт? Удастся ли пограничнику заманить в засаду немецкую ягдкоманду? И на что способен в умелых руках один-единственный броневагон от бронепоезда против целого полка?",****,4,закончено,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/467932,,,#Н/Д,1941.0,,,,+++++,,flibusta.is,240
4.1*509,-,Конюшевский_Владислав_(Егорлык)_1._Попытка_возврата.txt,Конюшевский Владислав (Егорлык),1. Попытка возврата,1941,Конюшевский Владислав (Егорлык),1. Попытка возврата,Попытка возврата,"Что делать, если обычного человека совершенно неожиданно занесло из нашего просвещенного времени в самый страшный год советской истории? Да еще и всего за день до того, как сотни 'юнкерсов' начнут раскручивать винты двигателей, а миллионы немецких солдат получат приказ о переходе границы с СССР. Наверное, для начала попробовать просто остаться в живых. А потом, выдав себя за потерявшего память вследствие контузии, взять в руки винтовку и, если уж так повернулась жизнь, воевать за свою страну. Но не просто воевать, а, собрав все свои крайне куцые знания о прошлом, попробовать хоть как-то изменить ситуацию, при которой его Родина понесла страшные людские потери.",*****,5,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/386439,,,#Н/Д,1941.0,,,,+++++,,flibusta.is,520
4.3*315,-,Конюшевский_Владислав_(Егорлык)_2._Всё_зависит_от_нас.txt,Конюшевский Владислав (Егорлык),2. Всё зависит от нас,1941,Конюшевский Владислав (Егорлык),2. Всё зависит от нас,Попытка возврата,"Военные приключения Ильи Лисова продолжаются. Зная будущее, он всё-таки смог так изменить ход Великой Отечественной войны, что не произошло ни харьковской катастрофы, ни потери Крыма, ни Сталинграда. Так что теперь, к концу 1943 года, Красная Армия вышла к границам СССР и с боями двигается дальше, на запад. Илья, как и миллионы советских солдат, воюет, но совершенно не подозревает, что в один прекрасный момент люди из НКВД опять зададут ему вопрос: «Лисов, а вы кто?» И на этот раз придётся отвечать честно…",*****,5,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/386468,,,#Н/Д,1941.0,,,,+++++,,flibusta.is,693
4.3*291,-,Конюшевский_Владислав_(Егорлык)_3._По_эту_сторону_фронта.txt,Конюшевский Владислав (Егорлык),3. По эту сторону фронта,1941,Конюшевский Владислав (Егорлык),3. По эту сторону фронта,Попытка возврата,"До конца войны остаются считанные месяцы и бойцы Особой группы Ставки, нацеленные на поиск объектов Аненербе, неожиданно получают другой приказ. На этот раз действовать им придётся не в немецком тылу, а на освобождённой территории. Недовольный Илья Лисов считает это «отрывом от основной работы», не предполагая, во что может вылиться выполнение нового задания.",*****,5,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/386536,,,#Н/Д,1941.0,,,,+++++,,flibusta.is,404
4.3*307,-,Конюшевский_Владислав_(Егорлык)_4._Основная_миссия.txt,Конюшевский Владислав (Егорлык),4. Основная миссия,1941,Конюшевский Владислав (Егорлык),4. Основная миссия,Попытка возврата,"Может ли пришелец из будущего в одиночку изменить мир? Умные политики и маститые ученые доказывают нам, что нет. Но Илья Лисов не знал этого авторитетного мнения. Против своего желания оказавшись 22 июня 1941 года на советско-германской границе, он вынужден был вступить в бой с фашистами, просто для того чтобы выжить. А потом, освоившись в новом времени, Илья решает сделать попытку повлиять на события, чтобы уменьшить количество погибших в войне. С трудом, но это ему удается. И вот на дворе конец лета 1944 года. Скоро конец войны, и как будут складываться послевоенные отношения с союзниками? Как не допустить «холодной войны» и «железного занавеса»? Об этом надо думать уже сейчас. А одним из инструментов в решении этой задачи является спецгруппа Ставки Верховного Главнокомандования, в состав которой входит полковник НКВД Илья Лисов, личный порученец Генерального секретаря ЦК ВКП(б) товарища Сталина. Только помимо основной работы Лисов еще постоянно помнит слова Вольфа Мессинга о какой-то таинственной миссии, которую должен выполнить человек из будущего. И если приказы руководства ясны и понятны, то в чем заключается его личная миссия, Илья может только предполагать…",*****,5,издано,#Н/Д,#Н/Д,ссылка,OK,,,,,,http://flibusta.is/b/386170,,,#Н/Д,1941.0,,,,+++++,,flibusta.is,453
